Year,Value,Sector
2020,8.251075,Nuclear Electric Power Production
2021,8.128571,Nuclear Electric Power Production
1949,1.424722,Hydroelectric Power Production
1950,1.415411,Hydroelectric Power Production
1951,1.423795,Hydroelectric Power Production
1952,1.465812,Hydroelectric Power Production
1953,1.412859,Hydroelectric Power Production
1954,1.359772,Hydroelectric Power Production
1955,1.359844,Hydroelectric Power Production
1956,1.434711,Hydroelectric Power Production
1957,1.515613,Hydroelectric Power Production
1958,1.591967,Hydroelectric Power Production
1959,1.548465,Hydroelectric Power Production
1960,1.607975,Hydroelectric Power Production
1961,1.656463,Hydroelectric Power Production
1962,1.816141,Hydroelectric Power Production
1963,1.771355,Hydroelectric Power Production
1964,1.886314,Hydroelectric Power Production
1965,2.059077,Hydroelectric Power Production
1966,2.061519,Hydroelectric Power Production
1967,2.346664,Hydroelectric Power Production
1968,2.348629,Hydroelectric Power Production
1969,2.647983,Hydroelectric Power Production
1970,2.633547,Hydroelectric Power Production
1971,2.824151,Hydroelectric Power Production
1972,2.863865,Hydroelectric Power Production
1973,2.861448,Hydroelectric Power Production
1974,3.17658,Hydroelectric Power Production
1975,3.154607,Hydroelectric Power Production
1976,2.976265,Hydroelectric Power Production
1977,2.333252,Hydroelectric Power Production
1978,2.936983,Hydroelectric Power Production
1979,2.930686,Hydroelectric Power Production
1980,2.900144,Hydroelectric Power Production
1981,2.757968,Hydroelectric Power Production
1982,3.265558,Hydroelectric Power Production
1983,3.52726,Hydroelectric Power Production
1984,3.385811,Hydroelectric Power Production
1985,2.970192,Hydroelectric Power Production
1986,3.071179,Hydroelectric Power Production
1987,2.634508,Hydroelectric Power Production
1988,2.334265,Hydroelectric Power Production
1989,2.837263,Hydroelectric Power Production
1990,3.046391,Hydroelectric Power Production
1991,3.015943,Hydroelectric Power Production
1992,2.617436,Hydroelectric Power Production
1993,2.891613,Hydroelectric Power Production
1994,2.683457,Hydroelectric Power Production
1995,3.205307,Hydroelectric Power Production
1996,3.589656,Hydroelectric Power Production
1997,3.640458,Hydroelectric Power Production
1998,3.297054,Hydroelectric Power Production
1999,3.267575,Hydroelectric Power Production
2000,2.811116,Hydroelectric Power Production
2001,2.241858,Hydroelectric Power Production
2002,2.689017,Hydroelectric Power Production
2003,2.792539,Hydroelectric Power Production
2004,2.688468,Hydroelectric Power Production
2005,2.702942,Hydroelectric Power Production
2006,2.869035,Hydroelectric Power Production
2007,2.446389,Hydroelectric Power Production
2008,2.511108,Hydroelectric Power Production
2009,2.668824,Hydroelectric Power Production
2010,2.538541,Hydroelectric Power Production
2011,3.102852,Hydroelectric Power Production
2012,2.628702,Hydroelectric Power Production
2013,2.562382,Hydroelectric Power Production
2014,2.466577,Hydroelectric Power Production
2015,2.321177,Hydroelectric Power Production
2016,2.472442,Hydroelectric Power Production
2017,2.766967,Hydroelectric Power Production
2018,2.663138,Hydroelectric Power Production
2019,2.563516,Hydroelectric Power Production
2020,2.502708,Hydroelectric Power Production
2021,2.282953,Hydroelectric Power Production
1949,0.0,Geothermal Energy Production
1950,0.0,Geothermal Energy Production
1951,0.0,Geothermal Energy Production
1952,0.0,Geothermal Energy Production
1953,0.0,Geothermal Energy Production
1954,0.0,Geothermal Energy Production
1955,0.0,Geothermal Energy Production
1956,0.0,Geothermal Energy Production
1957,0.0,Geothermal Energy Production
1958,0.0,Geothermal Energy Production
1959,0.0,Geothermal Energy Production
1960,0.000359,Geothermal Energy Production
1961,0.001001,Geothermal Energy Production
1962,0.001061,Geothermal Energy Production
1963,0.00176,Geothermal Energy Production
1964,0.002132,Geothermal Energy Production
1965,0.001978,Geothermal Energy Production
1966,0.001958,Geothermal Energy Production
1967,0.0033,Geothermal Energy Production
1968,0.004532,Geothermal Energy Production
1969,0.006422,Geothermal Energy Production
1970,0.005511,Geothermal Energy Production
1971,0.005739,Geothermal Energy Production
1972,0.015079,Geothermal Energy Production
1973,0.020422,Geothermal Energy Production
1974,0.02561,Geothermal Energy Production
1975,0.03378,Geothermal Energy Production
1976,0.037513,Geothermal Energy Production
1977,0.037382,Geothermal Energy Production
1978,0.030851,Geothermal Energy Production
1979,0.040262,Geothermal Energy Production
